user_id,age,city,gender
1,56,Berlin,female
2,38,Berlin,male
3,41,Berlin,female
4,19,Istanbul,male
5,38,Tokyo,male
6,42,Tokyo,male
7,,London,male
8,61,New York,male
9,24,Moscow,female
10,31,Paris,male
11,37,Tokyo,female
12,25,Istanbul,male
13,57,Rome,male
14,21,Istanbul,female
15,51,Istanbul,female
16,32,Berlin,male
17,57,Beijing,female
18,41,London,female
19,58,Berlin,male
20,26,London,male
21,28,Beijing,female
22,22,Tokyo,female
23,26,Paris,male
24,40,Tokyo,female
25,39,Rome,male
26,31,Beijing,male
27,31,New York,male
28,59,London,female
29,49,Berlin,female
30,32,London,male
31,39,Tokyo,male
32,23,London,male
33,28,Berlin,male
34,50,Tokyo,male
35,30,Moscow,female
36,26,Tokyo,male
37,41,Paris,female
38,58,Moscow,male
39,29,New York,male
40,34,Istanbul,male
41,40,Istanbul,male
42,19,Rome,female
43,21,Paris,male
44,55,Tokyo,female
45,28,Dubai,male
46,23,Dubai,male
47,53,New York,male
48,49,Istanbul,male
49,56,Berlin,male
50,42,New York,female
51,24,Dubai,female
52,twenty,Istanbul,female
53,49,Paris,male
54,33,Dubai,female
55,41,Istanbul,female
56,57,Moscow,male
57,,London,male
58,19,Tokyo,male
59,50,Rome,male
60,25,Tokyo,female
61,29,Tokyo,male
62,,Paris,female
63,44,Paris,female
64,64,Berlin,female
65,36,Beijing,male
66,61,Istanbul,female
67,52,Istanbul,male
68,63,Istanbul,female
69,38,London,female
70,35,Istanbul,female
71,57,London,female
72,40,New York,female
73,34,Berlin,female
74,56,Dubai,female
75,42,Moscow,male
76,53,Tokyo,female
77,33,Dubai,male
78,51,New York,male
79,42,Istanbul,female
80,39,Moscow,male
81,60,New York,female
82,61,Rome,female
83,49,New York,female
84,,New York,male
85,34,Rome,female
86,43,Istanbul,female
87,26,Moscow,female
88,64,New York,female
89,57,Tokyo,female
90,22,Rome,male
91,33,Berlin,male
92,45,Moscow,female
93,22,Moscow,female
94,56,Rome,female
95,27,Dubai,male
96,27,New York,female
97,22,Tokyo,female
98,19,New York,female
99,41,New York,male
100,60,Paris,other
101,27,London,male
102,63,Moscow,female
103,34,Paris,female
104,51,New York,female
105,62,Moscow,male
106,53,Beijing,female
107,52,Paris,female
108,41,New York,male
109,30,London,male
110,37,Paris,female
111,53,Istanbul,male
112,24,Tokyo,female
113,64,Moscow,female
114,38,Beijing,female
115,62,Istanbul,
116,22,New York,female
117,64,Beijing,female
118,55,Beijing,male
119,44,Moscow,male
120,36,Dubai,female
121,34,Istanbul,female
122,23,Rome,male
123,56,Istanbul,male
124,20,Rome,female
125,37,Berlin,female
126,18,London,male
127,42,London,other
128,,New York,male
129,33,,male
130,52,Moscow,male
131,31,,female
132,20,Moscow,male
133,49,Paris,male
134,25,Tokyo,male
135,45,Istanbul,other
136,34,Rome,female
137,46,Moscow,female
138,22,Rome,female
139,62,Rome,female
140,,Berlin,female
141,42,Dubai,female
142,51,Berlin,male
143,23,New York,female
144,20,Beijing,female
145,27,London,male
146,18,Tokyo,male
147,57,Paris,male
148,43,Rome,female
149,29,Istanbul,male
150,34,Moscow,female
151,38,Dubai,female
152,51,New York,male
153,44,Beijing,female
154,50,Rome,female
155,34,Berlin,female
156,27,Moscow,male
157,23,Paris,female
158,28,Berlin,male
159,48,Beijing,male
160,21,Istanbul,male
161,,Tokyo,male
162,38,London,male
163,38,New York,male
164,63,New York,female
165,26,Rome,female
166,47,Paris,male
167,53,Beijing,male
168,32,Istanbul,male
169,45,Rome,female
170,31,Berlin,female
171,40,New York,male
172,55,London,male
173,54,New York,female
174,39,Berlin,female
175,37,Paris,female
176,35,New York,female
177,25,New York,male
178,54,Tokyo,female
179,62,Istanbul,male
180,38,London,male
181,28,Dubai,male
182,26,New York,male
183,twenty,Istanbul,female
184,28,Dubai,male
185,55,Istanbul,female
186,25,Dubai,male
187,43,Rome,female
188,29,Tokyo,male
189,54,Istanbul,male
190,20,Paris,male
191,40,London,female
192,37,Tokyo,female
193,28,Tokyo,female
194,48,Dubai,other
195,31,,male
196,52,Beijing,female
197,46,Dubai,male
198,47,Berlin,male
199,31,Paris,female
200,42,Rome,female
201,49,Paris,female
202,32,Paris,male
203,19,Istanbul,female
204,23,Tokyo,male
205,32,New York,female
206,44,Berlin,male
207,54,Berlin,male
208,19,Dubai,male
209,55,Paris,male
210,32,Berlin,male
211,29,Moscow,female
212,53,London,male
213,28,Paris,male
214,40,Istanbul,male
215,30,Berlin,male
216,57,Istanbul,female
